id,provincia,canton,nombre,tipo_parroquia
6300,21,865,LUMBAQUI,Urbana
1755,23,85,LUZ DE AMERICA,Rural
5680,11,325,MACARA,Urbana
5615,14,590,MACAS,Urbana
5620,17,70,MACHACHI,Urbana
5625,7,350,MACHALA,Urbana
2305,13,975,MACHALILLA,Rural
5140,1,260,MACHANGARA,Urbana
2285,14,926,MACUMA,Rural
2310,16,685,MADRE TIERRA,Rural
2315,2,170,MAGDALENA/CHAPACOTO,Rural
7425,9,400,MAGRO,Urbana
2320,8,560,MAJUA,Rural
2325,11,300,MALACATOS/VALLADOLID,Rural
2330,17,75,MALCHINGUI,Rural
5630,6,195,MALDONADO,Urbana
2340,4,5,MALDONADO,Rural
2335,8,565,MALDONADO,Rural
2345,8,575,MALIMPIA / GUAYLLABAMBA,Rural
2350,7,360,MALVAS,Rural
550,11,295,MANGAHURCO,Rural
2355,24,410,MANGLARALTO,Rural
5635,13,450,MANTA,Urbana
2360,11,305,MANU,Rural
7470,13,455,MANUEL INOCENCIO PARRALES,Urbana
2365,3,250,MANUEL J. CALLE,Rural
6570,7,860,MARCABELI,Urbana
2375,18,145,MARCOS ESPINEL,Rural
2380,10,50,MARIANO ACOSTA,Rural
2385,1,265,MARIANO MORENO/CALLASAY,Rural
7215,17,60,MARISCAL SUCRE,Urbana
1520,4,995,MARISCAL SUCRE,Rural
2390,9,420,MARISCAL SUCRE/HUAQUES,Rural
2395,8,580,MATAJE,Rural
2400,6,225,MATUS,Rural
4490,13,455,MEMBRILLAL,Rural
240,13,485,MEMBRILLO,Rural
5645,14,605,MENDEZ,Urbana
5650,16,685,MERA,Urbana
2405,11,330,MERCADILLO,Rural
5655,14,595,MERCEDES MOLINA,Urbana
5660,9,420,MILAGRO,Urbana
4535,7,705,MILAGRO,Rural
4545,11,730,MILAGROS,Rural
6805,7,695,MILTON REYES,Urbana
2410,17,770,MINDO,Rural
5685,4,20,MIRA,Urbana
6695,12,946,MOCACHE,Urbana
6560,18,850,MOCHA,Urbana
2430,1,260,MOLLETURO,Rural
5290,1,260,MONAY,Urbana
2435,18,135,MONTALVO,Rural
2445,8,561,MONTALVO / HORQUETA,Rural
5640,12,710,MONTALVO /SABANETA,Urbana
2450,16,680,MONTALVO/ANDOAS,Rural
5665,13,445,MONTECRISTI,Urbana
2455,4,25,MONTEOLIVO,Rural
4635,23,982,MONTERREY,Rural
4520,7,690,MORALES,Rural
2460,5,120,MORASPUNGO,Rural
2465,7,370,MOROMORO,Rural
2470,9,390,MORRO,Rural
5670,8,570,MUISNE,Urbana
2475,5,110,MULALILLO,Rural
2480,5,100,MULALO,Rural
2490,5,110,MULLIQUINDIL,Rural
2570,1,260,MULTI /  NULTI,Rural
2485,6,215,MULTITUD,Rural
4450,7,360,MULUNCAY GRANDE,Rural
6595,1,885,NABON,Urbana
2520,11,335,NAMBACOLA,Rural
2525,17,60,NANEGAL,Rural
2530,17,60,NANEGALITO,Rural
5675,9,435,NARANJAL,Urbana
